"","TISSUE","Tube_no","SPCODE","SITE_ID","LENGTH_MM","SCIENTIFIC_NAME","COMMON_NAME","Species_size"
"378",10084573,378,37439002,"N23.2",265,"Rexea solandri","Gemfish","Rexea solandri"
"379",10084598,379,37439002,"N23.2",279,"Rexea solandri","Gemfish","Rexea solandri"
"380",10083938,380,37439002,"N25.3",254,"Rexea solandri","Gemfish","Rexea solandri"
"381",10084444,381,37296001,"N25.3",282,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"382",10084408,382,37330014,"N25.3",166,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"383",10084417,383,37296001,"N25.3",295,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"384",10084449,384,37296001,"N25.3",298,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_sm"
"385",10084414,385,37296001,"N25.3",451,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"386",10084546,386,37439002,"N23.2",277,"Rexea solandri","Gemfish","Rexea solandri"
"387",10083701,387,37296001,"N25.3",402,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"388",10084411,388,37296001,"N25.3",429,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"389",10084409,389,37330014,"N25.3",197,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
"390",10084475,390,37330014,"N25.3",181,"Sillago flindersi","Eastern School Whiting","Sillago flindersi"
